ticker,phase,score,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
IBRX,ACTIVE_RECLAIM_WATCH,100.0,8.66,daily,log_regression,MID,0.445,13,5.52,6.48,daily,100.0,nearest_support_gap_hi,8.6451,True,True,0.0,0.0,2.19,GAPS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
RIOT,ACTIVE_RECLAIM_WATCH,100.0,27.735,daily,log_regression,MID,0.471,19,20.35,22.4,daily,100.0,nearest_support_gap_hi,27.675,True,True,0.0,0.0,2.4,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
FCEL,ACTIVE_RECLAIM_WATCH,100.0,29.055,daily,log_regression,AT_UPPER,0.806,19,24.0,25.54,weekly,100.0,nearest_support_gap_hi,28.825,True,True,0.0,0.0,,MIXED_OR_WEAK,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,
SVC,ACTIVE_RECLAIM_WATCH,98.2,1.64,daily,log_regression,AT_LOWER,0.185,4,1.291,1.32,1h,32.14,nearest_support_gap_hi,1.63,True,True,8.54,8.54,1.83,OPTIONS_NOT_CHECKED,ascending channel/control | inside/near channel rails | bullish shelf stack underneath | controlled pullback 8.54% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
SDOT,ACTIVE_RECLAIM_WATCH,94.5,31.0,5m,log_regression,MID,0.657,8,23.25,23.964,15m,91.78,nearest_support_gap_hi,28.7799,True,True,38.71,38.71,0.65,GAPS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback | overhead_gap_too_close
OCGN,ACTIVE_RECLAIM_WATCH,94.5,1.595,daily,log_regression,MID,0.349,19,1.5,1.53,weekly,96.97,nearest_support_gap_hi,1.53,True,True,0.0,0.0,1.57,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
UAA,ACTIVE_RECLAIM_WATCH,93.0,6.145,daily,log_regression,MID,0.391,11,4.78,4.91,daily,90.62,nearest_support_gap_hi,5.95,True,True,0.9,0.9,1.06,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
STUB,PRE_RECLAIM_WATCH,91.1,12.82,daily,log_regression,MID,0.594,30,7.52,8.55,daily,97.78,nearest_support_gap_hi,12.78,True,False,0.0,0.0,1.4,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | tagging reload level nearest_support_gap_hi,not_yet_reclaimed | overhead_gap_too_close
WEN,ACTIVE_RECLAIM_WATCH,86.2,7.885,15m,log_regression,AT_LOWER,0.327,8,6.255,7.81,daily,100.0,nearest_support_gap_hi,7.81,True,True,0.0,0.0,0.06,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi,overhead_gap_too_close
FRSH,PRE_RECLAIM_WATCH,84.3,10.005,daily,log_regression,AT_UPPER,0.731,36,8.93,9.08,daily,96.72,nearest_support_gap_hi,10.0046,True,False,0.0,0.0,0.55,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | tagging reload level nearest_support_gap_hi,not_yet_reclaimed | overhead_gap_too_close
